2025-11-24 10:15:35.207 INFO  [main @coroutine#1] jp.assasans.protanki.server.Main - Hello, 世界!
2025-11-24 10:15:35.217 INFO  [main @coroutine#1] jp.assasans.protanki.server.Main - Version: 0.1.0
2025-11-24 10:15:35.218 INFO  [main @coroutine#1] jp.assasans.protanki.server.Main - Root path: D:\Tools\Myprotankiserver\protanki-server
2025-11-24 10:15:35.255 INFO  [main @coroutine#1] jp.assasans.protanki.server.Server - Starting server...
2025-11-24 10:15:35.277 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry - Loading skyboxes...
2025-11-24 10:15:35.564 INFO  [main @coroutine#2] org.reflections.Reflections - Reflections took 270 ms to scan 1 urls, producing 79 keys and 2538 values
2025-11-24 10:15:35.668 DEBUG [main @coroutine#2] jp.assasans.protanki.server.Main - Registered IPC message: ServerStopRequest
2025-11-24 10:15:35.669 DEBUG [main @coroutine#2] jp.assasans.protanki.server.Main - Registered IPC message: ServerStartedMessage
2025-11-24 10:15:35.669 DEBUG [main @coroutine#2] jp.assasans.protanki.server.Main - Registered IPC message: ServerStartingMessage
2025-11-24 10:15:35.669 DEBUG [main @coroutine#2] jp.assasans.protanki.server.Main - Registered IPC message: ServerStopResponse
2025-11-24 10:15:36.078 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Mountains -> {Top=ServerIdResource(id=345563, version=1), Front=ServerIdResource(id=80445, version=1), Back=ServerIdResource(id=266699, version=1), Bottom=ServerIdResource(id=590300, version=1), Left=ServerIdResource(id=616027, version=1), Right=ServerIdResource(id=190313, version=1)}
2025-11-24 10:15:36.078 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Mountains Night -> {Top=ServerIdResource(id=31091, version=2), Front=ServerIdResource(id=1706, version=2), Back=ServerIdResource(id=435821, version=2), Bottom=ServerIdResource(id=938264, version=2), Left=ServerIdResource(id=800616, version=2), Right=ServerIdResource(id=496680, version=2)}
2025-11-24 10:15:36.078 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Winter -> {Top=ServerIdResource(id=1929, version=1), Front=ServerIdResource(id=274735, version=1), Back=ServerIdResource(id=667135, version=1), Bottom=ServerIdResource(id=123809, version=1), Left=ServerIdResource(id=784146, version=1), Right=ServerIdResource(id=804716, version=1)}
2025-11-24 10:15:36.078 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Hills -> {Top=ServerIdResource(id=45572, version=1), Front=ServerIdResource(id=57735, version=1), Back=ServerIdResource(id=268412, version=1), Bottom=ServerIdResource(id=31494, version=1), Left=ServerIdResource(id=927961, version=1), Right=ServerIdResource(id=987391, version=1)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Hills Night -> {Top=ServerIdResource(id=943466, version=2), Front=ServerIdResource(id=728777, version=2), Back=ServerIdResource(id=180702, version=2), Bottom=ServerIdResource(id=732324, version=2), Left=ServerIdResource(id=68020, version=2), Right=ServerIdResource(id=527828, version=2)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Desert -> {Top=ServerIdResource(id=618407, version=1), Front=ServerIdResource(id=901771, version=1), Back=ServerIdResource(id=115550, version=1), Bottom=ServerIdResource(id=325968, version=1), Left=ServerIdResource(id=233133, version=1), Right=ServerIdResource(id=719361, version=1)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Urban -> {Top=ServerIdResource(id=817818, version=1), Front=ServerIdResource(id=458358, version=1), Back=ServerIdResource(id=604715, version=1), Bottom=ServerIdResource(id=591165, version=1), Left=ServerIdResource(id=972735, version=1), Right=ServerIdResource(id=796690, version=1)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Urban Night -> {Top=ServerIdResource(id=226765, version=8), Front=ServerIdResource(id=967825, version=8), Back=ServerIdResource(id=646439, version=8), Bottom=ServerIdResource(id=253969, version=8), Left=ServerIdResource(id=312500, version=8), Right=ServerIdResource(id=229643, version=8)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Iran -> {Top=ServerIdResource(id=382517, version=1), Front=ServerIdResource(id=154237, version=1), Back=ServerIdResource(id=713031, version=1), Bottom=ServerIdResource(id=140763, version=1), Left=ServerIdResource(id=340282, version=1), Right=ServerIdResource(id=214316, version=1)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Iran Winter -> {Top=ServerIdResource(id=83632, version=1), Front=ServerIdResource(id=390708, version=1), Back=ServerIdResource(id=475018, version=1), Bottom=ServerIdResource(id=271597, version=1), Left=ServerIdResource(id=931533, version=1), Right=ServerIdResource(id=657818, version=1)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Space -> {Top=ServerIdResource(id=120253, version=3), Front=ServerIdResource(id=7352, version=3), Back=ServerIdResource(id=255467, version=3), Bottom=ServerIdResource(id=329064, version=3), Left=ServerIdResource(id=86763, version=3), Right=ServerIdResource(id=669522, version=3)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Brazil -> {Top=ServerIdResource(id=867283, version=1), Front=ServerIdResource(id=629457, version=1), Back=ServerIdResource(id=338222, version=1), Bottom=ServerIdResource(id=536438, version=1), Left=ServerIdResource(id=347680, version=1), Right=ServerIdResource(id=772608, version=1)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded skybox Brazil Night -> {Top=ServerIdResource(id=272756, version=2), Front=ServerIdResource(id=429475, version=2), Back=ServerIdResource(id=336744, version=2), Bottom=ServerIdResource(id=934083, version=2), Left=ServerIdResource(id=824898, version=2), Right=ServerIdResource(id=521113, version=2)}
2025-11-24 10:15:36.079 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry - Loading proplibs...
2025-11-24 10:15:36.097 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Fort, id=31375, version=1)
2025-11-24 10:15:36.097 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=kariz Winter, id=37116, version=1)
2025-11-24 10:15:36.097 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Desert Houses, id=39200, version=1)
2025-11-24 10:15:36.097 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=yonje, id=46914, version=1)
2025-11-24 10:15:36.097 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 5 Winter, id=63715, version=1)
2025-11-24 10:15:36.097 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Industrial Elements, id=84460, version=1)
2025-11-24 10:15:36.097 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Land Tiles, id=89699, version=2)
2025-11-24 10:15:36.097 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Cliffs Winter, id=105954, version=1)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Hangars, id=107420, version=1)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Industrial Bridge Winter, id=129718, version=2)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=zamin, id=137788, version=3)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 1 Winter, id=143237, version=1)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Trees Winter, id=155305, version=1)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 6, id=169171, version=1)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Bridge Parts Winter, id=185320, version=1)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 10, id=205210, version=1)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Waffle Fence, id=205870, version=6)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=kariz, id=209939, version=1)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=kahgel Winter, id=213102, version=2)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Broken Bottom Winter, id=234813, version=1)
2025-11-24 10:15:36.098 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Industrial Bridge, id=245366, version=3)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 2, id=257170, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Broken Roof Winter, id=260267, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Bush, id=286895, version=5)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Roadblock Winter, id=291244, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Fachwerk House 1 Winter, id=296184, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 4, id=308916, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=City Builds Winter, id=311175, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Grass Tiles Winter, id=316457, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Broken Bottom, id=316677, version=2)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Fachwerk House 2 Winter, id=318484, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Com Build, id=327137, version=3)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=zamin Winter, id=331907, version=3)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=NuBu 6 Winter, id=339958, version=1)
2025-11-24 10:15:36.099 DEBUG [main @coroutine#2] jp.assasans.protanki.server.battles.map.MapRegistry -   > Loaded proplib ServerProplib(name=Cliffs, id=344680, version=2)
